"Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand","Model"
"Mumbai","2010","72000","CNG","Manual","First","26.6","998","58.16","5","1.75","Maruti","Wagon"
"Pune","2015","41000","Diesel","Manual","First","19.67","1582","126.2","5","12.5","Hyundai","Creta"
"Chennai","2011","46000","Petrol","Manual","First","18.2","1199","88.7","5","4.5","Honda","Jazz"
"Chennai","2012","87000","Diesel","Manual","First","20.77","1248","88.76","7","6","Maruti","Ertiga"
"Coimbatore","2013","40670","Diesel","Automatic","Second","15.2","1968","140.8","5","17.74","Audi","A4"
"Hyderabad","2012","75000","LPG","Manual","First","21.1","814","55.2","5","2.35","Hyundai","EON"
"Jaipur","2013","86999","Diesel","Manual","First","23.08","1461","63.1","5","3.5","Nissan","Micra"
"Mumbai","2016","36000","Diesel","Automatic","First","11.36","2755","171.5","8","17.5","Toyota","Innova"
"Pune","2013","64430","Diesel","Manual","First","20.54","1598","103.6","5","5.2","Volkswagen","Vento"
"Chennai","2012","65932","Diesel","Manual","Second","22.3","1248","74","5","1.95","Tata","Indica"
"Kochi","2018","25692","Petrol","Manual","First","21.56","1462","103.25","5","9.95","Maruti","Ciaz"
"Kolkata","2012","60000","Petrol","Automatic","First","16.8","1497","116.3","5","4.49","Honda","City"
"Jaipur","2015","64424","Diesel","Manual","First","25.2","1248","74","5","5.6","Maruti","Swift"
"Delhi","2014","72000","Diesel","Automatic","First","12.7","2179","187.7","5","27","Land","Rover"
"Delhi","2014","110000","Diesel","Manual","First","13.5","2477","175.56","7","15","Mitsubishi","Pajero"
"Kochi","2016","58950","Diesel","Manual","First","25.8","1498","98.6","5","5.4","Honda","Amaze"
"Jaipur","2017","25000","Diesel","Manual","First","28.4","1248","74","5","5.99","Maruti","Swift"
"Kochi","2014","77469","Diesel","Manual","First","20.45","1461","83.8","5","6.34","Renault","Duster"
